"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify Employee exists or not","17273","VerifyPIM","Default Suite","2026-08-29","passed","2026-08-29","OrangeHRM","ProjectOrangeHRM","OrangeHRM","VerifyPIM"
"Verify User is Admin or Not","18548","VerifyAdmin","Default Suite","2026-08-29","passed","2026-08-29","OrangeHRM","ProjectOrangeHRM","OrangeHRM","VerifyAdmin"
